Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Percy Jackson and the Sea of Monsters (Book 2),['Rick Riordan'],ePUB,12.99,12.99,0141926902,2008-05-01,Penguin Random House Children's UK,288
Conversations with Friends,['Sally Rooney'],ePUB,16.49,14.99,0571333141,2017-05-25,Faber & Faber,272
Strata,['Terry Pratchett'],ePUB,14.99,14.99,1407035533,2009-11-24,Transworld,288
Book not found for ISBN 9780230225916,,,,,,,,
Misbehaving,['Richard H. Thaler'],ePUB,16.99,16.99,0141966157,2015-05-07,Penguin Books Ltd,256
Surrender Experiment,['Michael A Singer'],E-Book,0,0,0804141118,2015-01-01,Potter/Tenspeed/Harmony,
My East End,"[""Gilda O'Neill""]",ePUB,15.99,15.99,0141929383,2000-09-28,Penguin Books Ltd,384
The Promise,['Lesley Pearse'],ePUB,15.99,15.99,0141964081,2012-01-19,Penguin Books Ltd,528
Dork Diaries,['Rachel Renee Russell'],Paperback,16.99,16.25,1471144011,2015-06-02,Simon & Schuster UK,304
Artemis Fowl and The Arctic Incident,['Eoin Colfer'],ePUB,9.99,9.99,014192957X,2002-06-06,Penguin Random House Children's UK,336
Excalibur,['Bernard Cornwell'],ePUB,15.99,15.99,014192974X,2007-11-01,Penguin Books Ltd,496
23 Things They Don't Tell You About Capitalism,['Ha-Joon Chang'],ePUB,15.99,15.99,0141957867,2010-09-02,Penguin Books Ltd,304
Myers+Chang at Home,"['Joanne Chang', 'Karen Akunowicz']",ePUB,46.19,36.99,0544836731,2024-03-19,HarperCollins,320
Son,['Lois Lowry'],ePUB,20.89,15.95,0547928513,2012-10-02,,400
Click,['Kayla Miller'],ePUB,18.69,14.95,1328527905,2019-01-08,HMH Books,
Mastering Color Knitting,['Melissa Leapman'],ePUB,15.42,12.99,030796549X,2011-07-13,Clarkson Potter/Ten Speed,
How I Became The Fittest Woman On Earth,['Tia-Clair Toomey'],ePUB,17.59,16.99,0646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
Stitch 'N Bitch Crochet,['Debbie Stoller'],ePUB,23.99,23.99,0761174982,2006-02-13,Workman Publishing Company,250
Walk Into Silence,['Susan McBride'],ePUB,5.75,5.75,1365501213,2016-11-01,,0
Lord of Chaos,['Robert Jordan'],ePUB,12.99,12.99,0748115390,2010-03-16,"Little, Brown Book Group",1056
Blood Ties,['Samantha Hayes'],ePUB,12.99,12.99,0755376609,2010-03-04,Headline,307
A Wartime Christmas,['Carol Rivers'],ePUB,8.99,8.99,0857208349,2013-08-01,Simon & Schuster UK,464
Infinity Gauntlet,"['Jim Starlin', 'George Perez', 'Ron Lim']",ePUB,16.12,12.99,0785170650,2014-05-28,Marvel Entertainment,
No Way Back,['M. J. Arlidge'],ePUB,2.99,2.99,1405926953,2016-08-08,Penguin Books Ltd,40
Feel Better In 5,['Dr Rangan Chatterjee'],ePUB,19.99,19.99,0241397812,2019-12-26,Penguin Books Ltd,272
Nine Perfect Strangers,['Liane Moriarty'],ePUB,14.99,14.99,1405919477,2018-10-04,Penguin Books Ltd,
The Fishermen,['Chigozie Obioma'],E-Book,0,0,0316338362,2015-04-14,Little Brown and Company,352
Escaping Destiny,['Amelia Hutchins'],ePUB,6.99,6.99,0991190920,2015-07-30,Amelia Hutchins,
Dubliners,"['James Joyce', ""Edna O'Brien"", 'Malachy McCourt']",ePUB,8.55,7.99,1101042184,2007-02-06,Penguin Publishing Group,272
The Mark of Athena (Heroes of Olympus Book 3),['Rick Riordan'],ePUB,12.99,12.99,0141967560,2012-10-02,Penguin Random House Children's UK,592
The Five Dysfunctions of a Team,['Patrick M. Lencioni'],ePUB,32.99,32.99,0470893869,2010-06-03,Wiley Professional Development (P&T),240
Christmas Bells,['Jennifer Chiaverini'],ePUB,20.57,16.99,0698407091,2015-10-27,Penguin Publishing Group,
The 7 Habits Of Highly Effective Teenagers,['Sean Covey'],ePUB,16.99,16.99,0857206478,2011-03-31,Simon & Schuster UK,288
Book not found for ISBN 9780061949098,,,,,,,,
Book not found for ISBN 9780230770072,,,,,,,,
The King's Men,['Nora Sakavic'],ePUB,1.43,1.43,1310839697,2015-05-19,Nora Sakavic,
I'm a T. Rex!,"['Dennis R. Shealy', 'Brian Biggs']",ePUB,8.79,7.99,0307978885,2012-04-25,Random House Children's Books,
Lucy Sullivan is Getting Married,['Marian Keyes'],ePUB,15.99,15.99,1405935162,2017-07-13,Penguin Books Ltd,672
The Beach,['Alex Garland'],ePUB,15.99,15.99,0141941448,2007-07-05,Penguin Books Ltd,448
Nineteen Eighty-Four,"['George Orwell', 'Thomas Pynchon']",ePUB,10.99,10.99,0141919957,2004-01-29,Penguin Books Ltd,400
The Green Mile,['Stephen King'],ePUB,13.99,13.99,0575087307,2010-11-25,Orion,448
The Crowded Grave,['Martin Walker'],ePUB,11.99,11.99,0857389572,2011-10-29,Quercus,320
Eeny Meeny,['M. J. Arlidge'],ePUB,15.99,15.99,1405914890,2014-05-08,Penguin Books Ltd,464
Bonk,['Mary Roach'],ePUB,17.5,15.95,0393069214,2009-04-06,,336
Tao Te Ching,"['Lao Tzu', 'D. C. Lau']",ePUB,10.99,10.99,014192232X,2000-01-01,Penguin Books Ltd,192
The Cake Bible,['Rose Levy Beranbaum'],ePUB,42.99,42.99,0544859561,2016-09-06,HarperCollins,560
Midnight in the Garden of Good and Evil,['John Berendt'],ePUB,25.7,20.99,0307538370,2010-05-12,Knopf Doubleday Publishing Group,
A Liverpool Legacy,['Anne Baker'],Paperback,27.75,27.75,0755399609,2014-06-05,Headline,384
The Rainmaker,['John Grisham'],ePUB,15.99,15.99,140705919X,2010-04-21,Random House,720
Persuasion,['Jane Austen'],ePUB,3.99,3.99,0553904566,2008-01-29,Random House Publishing Group,
The Murder Room,['P. D. James'],ePUB,14.29,12.99,0571247032,2008-09-04,Faber & Faber,320
Thor,"['Jason Aaron', 'Esad Ribic']",ePUB,13.19,10.99,1302013769,2014-04-02,Marvel Entertainment,
Fatal Cut,['June Hampson'],ePUB,11.99,11.99,1409106969,2009-04-16,Orion,320
Book not found for ISBN 9780230760387,,,,,,,,
Dracula,['Bram Stoker'],ePUB,1.45,1.45,0486114759,2012-02-06,Dover Publications,336
The Queen and I,['Sue Townsend'],ePUB,15.99,15.99,0141938331,2002-11-28,Penguin Books Ltd,288
All the Bright Places,['Jennifer Niven'],ePUB,12.99,12.99,0141357045,2015-01-08,Penguin Random House Children's UK,300
The Prize,['Julie Garwood'],ePUB,5.99,5.99,1101533471,2011-07-05,Penguin Publishing Group,1
Alone in Berlin,"['Hans Fallada', 'Michael Hofmann']",ePUB,15.99,15.99,0141908734,2010-01-28,Penguin Books Ltd,608
Born Fearless,['Phil Campion'],ePUB,12.99,12.99,0857384414,2011-09-25,Quercus,352
The Wicked King,['Holly Black'],ePUB,18.99,18.99,0316310336,2019-01-08,"Little, Brown Books for Young Readers",336
Exit West,['Mohsin Hamid'],ePUB,15.99,15.99,0241979072,2017-03-02,Penguin Books Ltd,240
Let's Explore Diabetes With Owls,['David Sedaris'],ePUB,12.99,12.99,0748123059,2013-04-23,"Little, Brown Book Group",288
Night Watch,['Terry Pratchett'],ePUB,15.99,15.99,1407035320,2009-12-01,Transworld,480
Safe Haven,['Nicholas Sparks'],ePUB,11.99,11.99,0748122664,2010-09-02,"Little, Brown Book Group",320
The Autobiography of Saint Therese,['John Beevers'],ePUB,22.01,17.99,0307778088,2011-01-26,Random House Publishing Group,
The Bhagavad Gita,['Laurie L. Patton'],ePUB,14.99,14.99,0141396210,2014-05-01,Penguin Books Ltd,288
My Mother's Secret,['J.L. Witterick'],ePUB,23.99,19.99,0698151526,2013-09-05,Penguin Publishing Group,208
The Language Instinct,['Steven Pinker'],ePUB,16.99,16.99,0141929685,2003-02-27,Penguin Books Ltd,496
The Spy and the Traitor,['Ben Macintyre'],Hardcover,43.75,43.75,1101904194,2018-09-18,Crown Publishing Group (NY),368
Ancillary Sword,['Ann Leckie'],ePUB,11.99,11.99,1405525851,2014-10-07,"Little, Brown Book Group",384
Harriet Tubman,['Catherine Clinton'],ePUB,21.99,21.99,0759509778,2004-02-02,"Little, Brown and Company",300
The Art of Statistics,['David Spiegelhalter'],ePUB,15.99,15.99,0241258758,2019-03-28,Penguin Books Ltd,256
Healing Back Pain,['John E. Sarno'],ePUB,12.99,12.99,0759520844,2001-03-15,Grand Central Publishing,300
A Walk In The Park,['Jill Mansell'],ePUB,12.99,12.99,0755355970,2012-02-16,Headline,362
Redeeming Your Bloodline,['Hrvoje Sirovina'],Paperback,32.63,32.63,0768448883,2019-05-01,SOUND WISDOM,224
The Lollipop Shoes (Chocolat 2),['Joanne Harris'],ePUB,15.99,15.99,1407039652,2010-07-06,Transworld,592
The Sleep Of Reason,['C.P. Snow'],PDF,14.9,14.9,0755118510,2010-01-16,,452
Liar Liar,['M. J. Arlidge'],ePUB,15.99,15.99,1405919221,2015-09-10,Penguin Books Ltd,314
10 Minutes 38 Seconds in this Strange World,['Elif Shafak'],ePUB,15.99,15.99,0241979455,2019-06-06,Penguin Books Ltd,368
A Clockwork Orange,"['Anthony Burgess', 'Blake Morrison']",ePUB,15.99,15.99,0141908327,2011-08-04,Penguin Books Ltd,176
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,['Dr Jeffrey Lewis'],ePUB,15.99,15.99,0753553171,2018-08-07,Ebury Publishing,304
Midnight at the Blackbird Cafe,['Heather Webber'],ePUB,19.5,15.99,1250198607,2019-07-16,Tor Publishing Group,
The Scottish Clearances,['T. M. Devine'],ePUB,15.99,15.99,0141985941,2018-10-04,Penguin Books Ltd,400
Quick & Clever Watercolor Pencils,['Charles Evans'],PDF,30.9,30.9,0715335545,2006-04-15,DAVID & CHARLES               ,128
Ask and It Is Given,"['Esther Hicks', 'Jerry Hicks', 'Dr. Wayne W. Dyer']",ePUB,18.34,14.99,1401919278,2004-10-01,Hay House,314
No One Is Too Small to Make a Difference,['Greta Thunberg'],ePUB,14.99,14.99,0141991755,2019-05-30,Penguin Books Ltd,80
Gypsy,['Lesley Pearse'],ePUB,15.99,15.99,014191033X,2008-07-14,Penguin Books Ltd,544
The Polyvagal Theory in Therapy,['Deb Dana'],ePUB,51.34,41.99,0393712389,2018-06-12,W. W. Norton & Company,
How to Make People Like You in 90 Seconds or Less,['Nicholas Boothman'],ePUB,19.99,19.99,0761148426,2008-07-02,Workman Publishing Company,203
Quran In English. Modern English Translation. Clear and Easy to Understand.,['Talal Itani'],ePUB,0,0,1310198373,2015-05-17,Talal Itani,
The Gutter Prayer,['Gareth Hanrahan'],ePUB,12.99,12.99,0356511510,2019-01-15,"Little, Brown Book Group",544
Astrology for the Soul,['Jan Spiller'],ePUB,17.14,13.99,0307426750,2009-11-04,Random House Publishing Group,
The Closed Circle,['Jonathan Coe'],ePUB,15.99,15.99,014190416X,2008-05-19,Penguin Books Ltd,448
Real Happiness,['Sharon Salzberg'],ePUB,16.5,14.95,0761165592,2010-12-29,Workman Publishing Company,250
The Hunger Games,['Suzanne Collins'],ePUB,14.02,11.99,1407135287,2012-03-01,Scholastic,
Book not found for ISBN 9780241192061,,,,,,,,
Where Good Ideas Come From,['Steven Johnson'],ePUB,15.99,15.99,0141964596,2010-10-07,Penguin Books Ltd,336
Claiming the Dragon King,['Amelia Hutchins'],ePUB,6.99,6.99,0997720107,2018-07-10,Amelia Hutchins,
The Boy with the Topknot,['Sathnam Sanghera'],ePUB,15.99,15.99,0670923095,2012-11-29,Penguin Books Ltd,336
The Lost Hero (Heroes of Olympus Book 1),['Rick Riordan'],ePUB,9.99,9.99,014196555X,2010-10-12,Penguin Random House Children's UK,576
The Other Side of the Story,['Marian Keyes'],ePUB,15.99,15.99,014190965X,2005-03-10,Penguin Books Ltd,656
Lean In,['Sheryl Sandberg'],ePUB,18.99,18.99,0753549069,2013-03-12,Ebury Publishing,240
Titmuss Regained,['John Mortimer'],ePUB,15.99,15.99,0141959851,2010-11-04,Penguin Books Ltd,272
Another Woman,['Penny Vincenzi'],ePUB,12.99,12.99,0755351479,2008-09-04,Headline,640
The Art of War,"['Sun Tzu', 'Tom Butler-Bowdon']",ePUB,16.99,16.99,0857081020,2016-05-16,Wiley,220
Thor & Loki,['Jeff Limke'],E-Book,0,0,1306291852,2006-01-01,Graphic Universe,52
Thin,['Grace Bowman'],ePUB,18.99,18.99,0141905573,2007-01-25,Penguin Books Ltd,304
Shadow of Night,['Deborah Harkness'],ePUB,13.99,13.99,0755384768,2012-07-10,Headline,605
Lover Mine,['J. R. Ward'],ePUB,11.99,11.99,0748117466,2010-05-06,"Little, Brown Book Group",544
Uprooted,['Naomi Novik'],E-Book,0,0,0804179042,2015-01-01,Random House Publishing Group,
Book not found for ISBN 9780307414250,,,,,,,,
Going Dutch,['Katie Fforde'],ePUB,15.99,15.99,1407011340,2010-12-07,Random House,432
Xero For Dummies,['Heather Smith'],ePUB,25.99,25.99,0730363996,2019-03-11,Wiley,472
1st to Die,['James Patterson'],ePUB,12.99,12.99,0755387058,2011-06-23,Headline,375
Night Frost,['R D Wingfield'],ePUB,15.99,15.99,1407068067,2010-04-27,Transworld,432
Notes to Self,['Emilie Pine'],ePUB,15.99,15.99,0241986230,2019-01-31,Penguin Books Ltd,192
The French Slow Cooker,"['Michele Scicolone', 'Alan Richardson']",ePUB,39.59,31.99,0547607954,2024-04-16,HarperCollins,240
Hope,['Lesley Pearse'],ePUB,15.99,15.99,0141900946,2007-01-11,Penguin Books Ltd,688
Dear Evan Hansen,"['Val Emmich', 'Justin Paul', 'Steven Levenson', 'Benj Pasek']",ePUB,12.99,12.99,0241361869,2018-10-09,Penguin Random House Children's UK,368
A Dedicated Man,['Peter Robinson'],ePUB,12.35,8.95,0330469282,2008-09-04,,0
A Short History of Europe,['Simon Jenkins'],ePUB,15.99,15.99,0241352533,2018-11-08,Penguin Books Ltd,400
There Is No Planet B,['Mike Berners-Lee'],PDF,18.95,18.95,1108337511,2019-02-28,Cambridge University Press,0
Arnhem,['Antony Beevor'],ePUB,14.99,14.99,0141941294,2018-05-17,Penguin Books Ltd,496
Paradise Lodge,['Nina Stibbe'],ePUB,15.99,15.99,0241974933,2016-06-02,Penguin Books Ltd,320
Book not found for ISBN 9780297857440,,,,,,,,
Strumpet City,['James Plunkett'],ePUB,8.99,8.99,071715565X,2013-02-22,Gill Books,560
Book not found for ISBN 9780307422316,,,,,,,,
Introducing Postmodernism,"['Richard Appignanesi', 'Chris Garratt']",E-Book,0,0,1281371971,2004-01-01,Icon Books Limited,191
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1","['Kisetsu Morita', 'Benio']",ePUB,17.6,16.99,0316448281,2018-04-24,Yen Press,
Mr Loverman,['Bernardine Evaristo'],ePUB,15.99,15.99,0241963915,2013-08-29,Penguin Books Ltd,288
The Bridge at Remagen,['Ken Hechler'],ePUB,10.27,9.99,0307514927,2009-03-25,Random House Publishing Group,
A Perfect Spy,['John le Carré'],ePUB,15.99,15.99,0241322499,2018-09-27,Penguin Books Ltd,688
Blood Song,['Anthony Ryan'],ePUB,12.99,12.99,1405525967,2013-04-11,"Little, Brown Book Group",592
The Eagle and the Wolves (Eagles of the Empire 4),['Simon Scarrow'],ePUB,12.99,12.99,0755350855,2008-09-04,Headline,448
Excession,['Iain M. Banks'],ePUB,12.99,12.99,0748110003,2008-09-04,"Little, Brown Book Group",464
The Secret Diary of Adrian Mole Aged 13 ¾,['Sue Townsend'],ePUB,9.99,9.99,0141962909,2009-11-05,Penguin Random House Children's UK,272
The Girl On Legare Street,['Karen White'],ePUB,10.27,9.99,1101155647,2009-11-03,Penguin Publishing Group,
Brothers York,['Thomas Penn'],ePUB,19.99,19.99,0718197291,2019-10-03,Penguin Books Ltd,640
Book not found for ISBN 9780307351487,,,,,,,,
How I Made $2 Million in the Stock Market,['Nicolas Darvas'],ePUB,21.99,20.99,0857191411,2020-03-27,Harriman House,198
The Summer Queen,['Elizabeth Chadwick'],ePUB,12.99,12.99,0748133836,2013-06-20,"Little, Brown Book Group",496
Hellion,['Karen Lynch'],ePUB,6.87,6.87,1370046782,2019-01-08,Karen Lynch,
Book not found for ISBN 9780307388629,,,,,,,,
Book not found for ISBN 9780307483690,,,,,,,,
You Can't Hide (The Chicago Series Book 4),['Karen Rose'],Paperback,26.4,26.4,0755384830,2015-07-02,Headline Publishing Group,448
The Winner,['David Baldacci'],ePUB,11.5,8.5,0330527983,2011-05-16,,592
Our Man in Charleston,['Christopher Dickey'],ePUB,23.99,19.99,0307887294,2015-07-21,Crown,
Postmortem,['Patricia Cornwell'],ePUB,12.99,12.99,0748109501,2008-09-04,"Little, Brown Book Group",416
One Of Us Is Next,['Karen M. McManus'],ePUB,9.99,9.99,0241376939,2020-01-09,Penguin Random House Children's UK,308
Alaska,"['James A. Michener', 'Steve Berry']",ePUB,5.99,5.99,0804151423,2013-12-17,Random House Publishing Group,
The Blind Assassin,['Margaret Atwood'],ePUB,11.99,11.99,0748113347,2009-09-03,"Little, Brown Book Group",656
Hardwired,['Meredith Wild'],Paperback,22.17,21.75,0989768414,2015-01-24,WATERHOUSE PR                 ,288
Solo,['Jill Mansell'],ePUB,11.99,11.99,0755351878,2008-02-10,Headline,300
The Body Farm,['Patricia Cornwell'],ePUB,11.99,11.99,0748109587,2008-09-04,"Little, Brown Book Group",400
The Hand That First Held Mine,"[""Maggie O'Farrell""]",ePUB,11.99,11.99,0755373278,2010-04-29,Headline,352
Welcome To Rosie Hopkins' Sweetshop Of Dreams,['Jenny Colgan'],ePUB,12.99,12.99,074812196X,2012-03-29,"Little, Brown Book Group",400
The Firm,['John Grisham'],ePUB,15.99,15.99,1407059041,2010-04-21,Random House,496
The Eagle In The Sand (Eagles of the Empire 7),['Simon Scarrow'],ePUB,12.99,12.99,0755350804,2008-09-04,Headline,448
Raise the Titanic,['Clive Cussler'],ePUB,11.99,11.99,0748114335,2009-09-17,"Little, Brown Book Group",320
"Change Your Thoughts, Change Your Life",['Dr. Wayne W. Dyer'],ePUB,19.06,15.99,1401920527,2007-07-31,Hay House,395
Last Chance Saloon,['Marian Keyes'],ePUB,15.99,15.99,014190982X,2005-07-07,Penguin Books Ltd,608
In Peace Lies Havoc (Midnight Mayhem: Book I),['Amo Jones'],ePUB,6.99,6.99,1393487327,2019-11-05,?Amo Jones,
The First Fifteen Lives of Harry August,['Claire North'],ePUB,11.99,11.99,1405528257,2014-04-08,"Little, Brown Book Group",416
The Great Hunt,['Robert Jordan'],Paperback,22.99,20.4,0356517012,2021-09-14,Little Brown,720
The Sword Of Shannara,['Terry Brooks'],ePUB,12.99,12.99,140551566X,2012-02-23,"Little, Brown Book Group",672
The Dollhouse,['Fiona Davis'],ePUB,23.99,19.99,1101985003,2016-08-23,Penguin Publishing Group,
The Leadership Challenge,"['James M. Kouzes', 'Barry Z. Posner']",ePUB,41.79,41.79,111927897X,2017-03-30,Wiley Professional Development (P&T),0
A Pound Of Flesh,['Alex Gray'],ePUB,12.99,12.99,0748117385,2012-03-01,"Little, Brown Book Group",352
Stardust,['Neil Gaiman'],Paperback,22.99,19.25,0755322827,1999-05-01,Headline,214
The Boundless Sea,['David Abulafia'],ePUB,19.99,19.99,0141972092,2019-10-03,Penguin Books Ltd,512
The Lady in the Lake and Other Novels,['Raymond Chandler'],ePUB,16.99,16.99,0141190760,2001-06-07,Penguin Books Ltd,608
Blue Monday,['Nicci French'],ePUB,15.99,15.99,0141970251,2011-06-23,Penguin Books Ltd,432
Masters of Rome,['Robert Fabbri'],ePUB,9.49,8.99,0857899643,2014-08-07,Corvus,300
Body Swap,['Katrina Kahler'],ePUB,0,0,1370005326,2017-03-28,Katrina Kahler,
Book not found for ISBN 9780141960241,,,,,,,,
Apache Dawn,['Damien Lewis'],ePUB,12.99,12.99,0748122761,2010-09-02,"Little, Brown Book Group",384
Our Band Could Be Your Life,['Michael Azerrad'],ePUB,25.99,25.99,0316247189,2012-12-01,"Little, Brown and Company",528
Book not found for ISBN 9780062368683,,,,,,,,
Any Human Heart,['William Boyd'],ePUB,15.99,15.99,0141925329,2003-03-06,Penguin Books Ltd,512
Book not found for ISBN 9780061802638,,,,,,,,
Hunger,['Michael Grant'],ePUB,13.99,13.99,0061911496,2009-05-26,HarperCollins,608
The Fire Islands,['Gilbert M. Stack'],ePUB,1.52,1.52,1370085176,2017-12-01,Gilbert M. Stack,
The Catcher in the Rye,['J. D. Salinger'],ePUB,15.99,15.99,0241988799,2019-08-13,Penguin Books Ltd,240
Bloodline,['Mark Billingham'],ePUB,12.99,12.99,0748111468,2009-08-06,"Little, Brown Book Group",352
The Rule of Law,['Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham'],ePUB,15.99,15.99,0141962011,2011-07-07,Penguin Books Ltd,224
Last Bus to Woodstock,['Colin Dexter'],ePUB,12.35,8.95,0330468561,2009-08-21,,0
A Moment of War,['Laurie Lee'],ePUB,15.99,15.99,0141929553,2000-01-01,Penguin Books Ltd,192
March of the Lemmings,['Stewart Lee'],ePUB,18.69,15.99,0571357040,2019-09-03,Faber & Faber,324
Path of the Assassin,['Brad Thor'],ePUB,9.99,9.99,0743483308,2003-04-15,Atria Books,384
Crime and Punishment,"['Fyodor Dostoevsky', 'Oliver Ready']",ePUB,10.99,10.99,0141956968,2014-02-27,Penguin Books Ltd,720
The Case of the Missing Boyfriend,['Nick Alexander'],ePUB,5.99,5.99,0857896318,2011-08-01,Corvus,200
The Collector,['Nora Roberts'],ePUB,11.99,11.99,1405522771,2014-04-15,"Little, Brown Book Group",496
The Deceivers,['Kristen Simmons'],ePUB,14.95,11.99,125017581X,2019-02-05,Tor Publishing Group,
Profit First,['Mike Michalowicz'],ePUB,29.14,23.99,0735214166,2017-01-18,Penguin Publishing Group,
Matter,['Iain M. Banks'],ePUB,12.99,12.99,0748110046,2008-09-04,"Little, Brown Book Group",608
If Beale Street Could Talk,['James Baldwin'],ePUB,15.99,15.99,0141963794,2000-01-01,Penguin Books Ltd,240
Everything is Figureoutable,['Marie Forleo'],ePUB,4.99,4.99,0241341043,2019-09-12,Penguin Books Ltd,240
The Glass Woman,['Caroline Lea'],ePUB,15.99,15.99,1405934638,2019-02-07,Penguin Books Ltd,464
Caves of Steel,['Isaac Asimov'],ePUB,13.19,10.99,0307792412,2011-04-13,Random House Publishing Group,
The Elements of Style,['William Strunk Jr.'],ePUB,5.8,5.8,0486113701,2012-03-07,Dover Publications,64
The Labyrinth Index,['Charles Stross'],ePUB,12.99,12.99,0356511073,2018-10-30,"Little, Brown Book Group",368
The Tipping Point,['Malcolm Gladwell'],ePUB,16.99,16.99,0759574731,2006-11-01,"Little, Brown and Company",288
